word,word_sen,word_sen_trans,trans,example
revolt,The prime minister is now facing a revolt by members of his own party.,首相现在面临着党内倒戈。,"n.反抗；造反，起义
v.起义；反抗
","1. The prime minister is now facing a revolt by members of his own party.
首相现在面临着党内倒戈。
2. the Polish revolt of 1863
1863年的波兰起义
3. It was feared that the army would revolt against the government.
有人担心军队会挥戈反对政府。
4. Some members of the government may revolt against this proposed legislation.
一些政府成员可能会反对这项拟议中的法规。
"
specialist,an attorney who is a specialist in banking law,一名专攻银行法的律师,"n.专家
","1. an attorney who is a specialist in banking law
一名专攻银行法的律师
"
carpet,My bedroom carpet is green.,我卧室里的地毯是绿色的。,"n.地毯
","1. My bedroom carpet is green.
我卧室里的地毯是绿色的。
2. All the rooms had fitted carpets (= carpets cut to fit the shape of the rooms ) .
所有的房间都铺了全室地毯。
"
meditation,"Yoga involves breathing exercises, stretching, and meditation.",瑜伽包括呼吸训练、伸展和冥想。,"n.默想，冥想；沉思，深思，思考
","1. Yoga involves breathing exercises, stretching, and meditation.
瑜伽包括呼吸训练、伸展和冥想。
2. She found him sitting alone, deep in meditation.
她发现他独自坐着，陷入沉思。
"
persist,"‘I don’t think it’s right,’ John persisted.",“我认为那不对。”约翰坚持说道。,"v.坚持；执意；继续存在[发生]；持续
","1. ‘I don’t think it’s right,’ John persisted.
“我认为那不对。”约翰坚持说道。
2. If the pain persists, you must see a doctor.
如果一直痛，你就必须去看医生了。
"
avoid,Road safety is taught to young children to avoid road accidents.,小孩子受到道路安全知识的教育，以避免交通事故。,"v.防止，避免；逃避，避开
","1. Road safety is taught to young children to avoid road accidents.
小孩子受到道路安全知识的教育，以避免交通事故。
2. It is important to take measures to avoid the risk of fire.
采取措施避免火灾风险很重要。
3. Alan narrowly avoided an accident.
艾伦险出事故。
4. Everyone seemed to be avoiding Nick.
似乎所有人都在躲着尼克。
"
yellow,yellow flowers,黄花,"adj.黄的，黄色的
n.黄色
","1. yellow flowers
黄花
2. Yellow doesn’t suit me at all.
黄色一点都不适合我。
"
consult,"If symptoms persist, consult a doctor without delay.",如果症状持续的话，马上咨询医生。,"v.请教，向...咨询；找...商量；查阅，查看
","1. If symptoms persist, consult a doctor without delay.
如果症状持续的话，马上咨询医生。
2. I can’t believe you sold the car without consulting me!
我真不敢相信你不和我商量一下就把车给卖了！
3. Have you consulted a dictionary?
你查过词典了吗？
"
assume,I think we can safely assume (=  it is almost certain  ) that interest rates will go up again soon.,我想我们几乎可以肯定，利率很快会再次上调。,"v.假定，设想；开始掌管/承担责任等；假装[装出]…的态度/样子/表情等
","1. I think we can safely assume (=  it is almost certain  ) that interest rates will go up again soon.
我想我们几乎可以肯定，利率很快会再次上调。
2. When it got to midnight and Paul was still not back, I began to assume the worst (=  think that the worst possible thing had happened  ) .
到午夜时保罗还没回来，我就开始往最坏的地方想了。
3. Jim Paton will assume the role of managing director.
吉姆·帕顿将出任常务董事一职。
4. Andy assumed an air of indifference whenever her name was mentioned.
每次提到她的名字，安迪都装出无所谓的样子。
"
doctorate,Professor Lanphier obtained his doctorate in social psychology from the University of Michigan.,兰菲尔教授从密歇根大学获得了社会心理学博士学位。,"n.博士学位;博士头衔
","1. Professor Lanphier obtained his doctorate in social psychology from the University of Michigan.
兰菲尔教授从密歇根大学获得了社会心理学博士学位。
"
