word,trans,example
paragraph,"n.段落；短评；段落符号
v.将…分段
","1. the opening paragraphs of the novel
小说开篇的几个段落
"
influence,"n.影响；势力；感化；有影响的人或事
v.影响；改变
","1. As a scientist, his influence was immense.
身为一名科学家，他的影响力极大。
"
intellectual,"adj.智力的；聪明的；理智的
n.知识分子；凭理智做事者
","1. Mark’s very intellectual.
马克很聪明。
"
political,"adj.政治的；党派的
","1. All other political parties there have been completely banned.
那里的其他所有政党都已经完全被取缔了。
2. The government is facing another political crisis.
该政府正面临着另一场政治危机。
"
science,"n.科学；技术；学科；理科
","1. Many leading scientists do not consider that science can give absolutely reliable knowledge.
许多杰出科学家都不认为科学能够提供绝对可靠的知识。
2. the founder of modern science, Isaac Newton
现代科学创始人艾萨克·牛顿
3. developments in science and technology
科学技术的发展
"
economic,"adj.经济的，经济上的；经济学的
","1. Economic growth is slow.
经济增长缓慢。
2. the government’s economic policy
政府的经济政策
3. Economic reform is needed.
经济改革势在必行。
4. In the current economic climate (= conditions ), we must keep costs down.
在当前的经济形势下，我们一定要控制好成本。
"
century,"n.世纪，百年；（板球）一百分
","1. the story of life on a small farm at the turn of the century
讲述世纪初一个小农场生活的故事
"
increase,"n.增加，增长；提高
v.增加，增大；繁殖
","1. Recent tax increases have affected the poor more than the rich.
新近的增税对穷人的影响比对富人的大。
2. the dramatic increase in the population aged over 65
65岁以上人口的急剧增加
3. There has been a marked increase in the use of firearms.
使用枪支的人数显著增加了。
4. Cases of tuberculosis are on the increase.
结核病病例越来越多。
"
stress,"n.压力；强调；紧张；重要性；重读
v.强调；使紧张；加压力于；用重音读
","1. Your headaches are due to stress.
你的头痛是压力造成的。
2. Janet’s been under a lot of stress since her mother’s illness.
珍妮特自从母亲生病以来承受了很大的压力。
3. all the stresses of public life
公众生活的所有压力
4. A lot of illnesses are stress-related.
许多疾病与压力有关。
"
power,"n.力量，能力；电力，功率；政权，势力；[数] 幂
v.激励；供以动力；使…有力量
adj.借影响有权势人物以操纵权力的
","1. They seized power in a military coup.
他们在一场军事政变中夺取了政权。
"
national,"adj.国家的；国民的；民族的；国立的
n.国民
","1. Religion matters very much at a national level.
宗教事务在全国都非常重要。
2. Between 1929 and 1933 America’s national income fell by more than half.
1929至1933年间，美国的国民收入下降过半。
3. There are strong indications that the Prime Minister will call national elections in May.
有明显迹象预示首相将于5月召集全国大选。
"
consider,"v.考虑；认为；考虑到；细想
","1. We will have to consider your offer carefully .
我们得仔细考虑你的提议。
"
